starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:45:59 2016	1463179559	17	14	31	7
Fri May 13 16:45:59 2016	1463179559	24	7	31	2
Fri May 13 16:45:59 2016	1463179559	24	7	31	2
Fri May 13 16:45:59 2016	1463179559	24	7	31	2
Fri May 13 16:45:59 2016	1463179559	17	14	31	7
Fri May 13 16:45:59 2016	1463179559	28	3	31	2
Fri May 13 16:45:59 2016	1463179559	28	3	31	2
Fri May 13 16:45:59 2016	1463179559	28	3	31	2
Fri May 13 16:45:59 2016	1463179559	19	12	31	12
Fri May 13 16:45:59 2016	1463179559	11	20	31	18
Fri May 13 16:45:59 2016	1463179559	18	14	31	11
Fri May 13 16:45:59 2016	1463179559	8	23	31	21
Fri May 13 16:45:59 2016	1463179559	18	14	31	11
Fri May 13 16:45:59 2016	1463179559	29	3	31	2
Fri May 13 16:45:59 2016	1463179559	19	13	32	6
Fri May 13 16:45:59 2016	1463179559	21	11	32	6
Fri May 13 16:45:59 2016	1463179559	21	11	32	6
Fri May 13 16:45:59 2016	1463179559	22	10	32	3
Fri May 13 16:45:58 2016	1463179558	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	21	11	32	6
Fri May 13 16:45:59 2016	1463179559	15	17	32	7
Fri May 13 16:45:59 2016	1463179559	17	15	32	7
Fri May 13 16:45:59 2016	1463179559	29	3	32	2
Fri May 13 16:45:59 2016	1463179559	15	17	32	8
Fri May 13 16:45:59 2016	1463179559	15	17	32	7
Fri May 13 16:45:59 2016	1463179559	27	5	32	1
Fri May 13 16:45:59 2016	1463179559	27	5	32	1
Fri May 13 16:45:59 2016	1463179559	17	15	32	7
Fri May 13 16:45:59 2016	1463179559	23	9	32	8
Fri May 13 16:45:59 2016	1463179559	24	8	32	3
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:58 2016	1463179558	31	1	32	1
Fri May 13 16:45:58 2016	1463179558	31	2	32	1
Fri May 13 16:45:59 2016	1463179559	17	15	32	6
Fri May 13 16:45:59 2016	1463179559	30	2	32	2
Fri May 13 16:45:59 2016	1463179559	22	10	32	5
Fri May 13 16:45:59 2016	1463179559	29	3	32	3
