starttime	seconds	ctime	dtime	ttime	wait
Fri May 13 16:46:26 2016	1463179586	1861	3	1864	2
Fri May 13 16:46:26 2016	1463179586	1864	1	1864	1
Fri May 13 16:46:26 2016	1463179586	1860	4	1864	4
Fri May 13 16:46:26 2016	1463179586	1863	1	1864	1
Fri May 13 16:46:26 2016	1463179586	1864	1	1865	1
Fri May 13 16:46:26 2016	1463179586	1864	2	1866	2
Fri May 13 16:46:26 2016	1463179586	2679	1	2681	1
Fri May 13 16:46:26 2016	1463179586	2679	2	2681	2
Fri May 13 16:46:26 2016	1463179586	2681	1	2682	1
Fri May 13 16:46:29 2016	1463179589	3049	1	3050	1
Fri May 13 16:46:27 2016	1463179587	3054	2	3056	2
Fri May 13 16:46:28 2016	1463179588	3256	1	3258	1
Fri May 13 16:46:26 2016	1463179586	3318	1	3319	1
Fri May 13 16:46:26 2016	1463179586	3318	2	3320	2
Fri May 13 16:46:26 2016	1463179586	3319	1	3321	1
Fri May 13 16:46:26 2016	1463179586	4313	2	4315	2
Fri May 13 16:46:26 2016	1463179586	4313	1	4315	1
Fri May 13 16:46:26 2016	1463179586	4314	1	4316	1
